Course,Home Fee,Overseas Fee,Level
MSc Accounting and Finance,28056,28608,Postgraduate
"MSc Accounting, Organisations and Institutions",28056,28608,Postgraduate
MSc Anthropology and Development,14088,21744,Postgraduate
MSc Anthropology and Development Management,21744,21744,Postgraduate
MSc Applicable Mathematics,14088,21744,Postgraduate
MSc Applied Social Data Science,28056,28608,Postgraduate
MSc Behavioural Science,21744,21744,Postgraduate
MSc China in Comparative Perspective,14088,21744,Postgraduate
MSc City Design and Social Science,28056,28608,Postgraduate
MSc Comparative Politics (All streams),21744,21744,Postgraduate
MSc Conflict Studies,21744,21744,Postgraduate
MSc Criminal Justice Policy,14088,21744,Postgraduate
MSc Culture and Conflict in a Global Europe,21744,21744,Postgraduate
MSc Culture and Society,14088,21744,Postgraduate
MSc Data Science,28056,28608,Postgraduate
MSc Development Management,21744,21744,Postgraduate
MSc Development Studies (All streams),14088,21744,Postgraduate
MSc Econometrics and Mathematical Economics,28056,28608,Postgraduate
MSc Economic History (Both streams),14088,21744,Postgraduate
MSc Economics,28056,28608,Postgraduate
MSc Economics (Two Year Programme),,,Postgraduate
MSc Economics and Management,28056,28608,Postgraduate
MSc Economics and Philosophy,21744,21744,Postgraduate
"MSc Economy, Risk and Society",14088,21744,Postgraduate
"MSc Empires, Colonialism and Globalisation",14088,21744,Postgraduate
MSc Environment and Development,14088,21744,Postgraduate
MSc Environmental Economics and Climate Change,16008,23328,Postgraduate
MSc Environmental Policy and Regulation,14088,21744,Postgraduate
MSc European and International Public Policy,21744,21744,Postgraduate
MSc European Studies (Research),21744,21744,Postgraduate
MSc Finance (Full Time),35568,35568,Postgraduate
MSc Finance and Economics,28056,28608,Postgraduate
MSc Finance and Private Equity,35568,35568,Postgraduate
MSc Financial Mathematics,28056,28608,Postgraduate
MSc Gender (All streams),14088,21744,Postgraduate
"MSc Gender, Development and Globalisation",14088,21744,Postgraduate
"MSc Gender, Media and Culture",14088,21744,Postgraduate
"MSc Gender, Policy and Inequalities",14088,21744,Postgraduate
MSc Global Economic History (Erasmus Mundus),14088,21744,Postgraduate
MSc Global Health Policy,18008,25328,Postgraduate
MSc Global Media and Communications,,,Postgraduate
Global MSc Management,,,Postgraduate
MSc Global Politics,23328,23328,Postgraduate
MSc Health and International Development,14088,21744,Postgraduate
"MSc Health Policy, Planning and Financing",,,Postgraduate
MSc History of International Relations,14088,21744,Postgraduate
MSc Human Geography and Urban Studies (Research),14088,21744,Postgraduate
MSc Human Resources and Organisations,23328,23328,Postgraduate
MSc Human Resources and Organisations (HRM/CIPD Specialism),24336,24336,Postgraduate
MSc Human Rights,16008,23328,Postgraduate
MSc Human Rights and Politics,16008,23328,Postgraduate
MSc Inequalities and Social Science,14088,21744,Postgraduate
