Course,Home Fee,Overseas Fee,Level
BSc Accounting and Finance,9250,27192,Undergraduate
BSc Actuarial Science,9250,27192,Undergraduate
BSc Actuarial Science (with a Placement Year),9250,27192,Undergraduate
BA Anthropology and Law,9250,26184,Undergraduate
BSc Data Science,9250,27192,Undergraduate
BSc Economic History,9250,26184,Undergraduate
BSc Economic History and Geography,9250,26184,Undergraduate
BSc Econometrics and Mathematical Economics,9250,28176,Undergraduate
BSc Economics,9250,28176,Undergraduate
BSc Economics and Economic History,9250,28176,Undergraduate
BSc Environment and Sustainable Development,9250,26184,Undergraduate
BSc Environment and Sustainable Development with Economics,9250,27192,Undergraduate
BSc Finance,9250,28176,Undergraduate
BSc Financial Mathematics and Statistics,9250,27192,Undergraduate
BA Geography,9250,26184,Undergraduate
BSc Geography with Economics,9250,27192,Undergraduate
BA History,9250,26184,Undergraduate
BSc History and Politics,9250,26184,Undergraduate
BSc International Relations,9250,27192,Undergraduate
BSc International Relations and Chinese,9250,26184,Undergraduate
BSc International Relations and History,9250,26184,Undergraduate
BSc International Social and Public Policy,9250,26184,Undergraduate
BSc International Social and Public Policy and Economics,9250,27192,Undergraduate
BSc International Social and Public Policy with Politics,9250,26184,Undergraduate
"BSc Language, Culture and Society",9250,26184,Undergraduate
LLB in Laws,9250,28176,Undergraduate
BSc Management,9250,27192,Undergraduate
BSc Mathematics with Data Science,9250,27192,Undergraduate
BSc Mathematics and Economics,9250,27192,Undergraduate
BSc Mathematics with Economics,9250,27192,Undergraduate
"BSc Mathematics, Statistics and Business",9250,27192,Undergraduate
BSc Philosophy and Economics,9250,27192,Undergraduate
"BSc Philosophy, Logic and Scientific Method",9250,27192,Undergraduate
"BSc Philosophy, Politics and Economics",9250,28176,Undergraduate
BSc Politics,9250,27192,Undergraduate
BSc Politics and Data Science,9250,26184,Undergraduate
BSc Politics and Economics,9250,27192,Undergraduate
BSc Politics and International Relations,9250,27192,Undergraduate
BSc Politics and Philosophy,9250,27192,Undergraduate
BSc Psychological and Behavioural Science,9250,26184,Undergraduate
BA/BSc Social Anthropology,9250,26184,Undergraduate
BSc Sociology,9250,26184,Undergraduate
MSc Accounting and Finance,35472,36168,Postgraduate
"MSc Accounting, Organisations and Institutions",35472,36168,Postgraduate
MSc Anthropology and Development,17424,27480,Postgraduate
MSc Applicable Mathematics,17424,27480,Postgraduate
MSc Applied Social Data Science,35472,36168,Postgraduate
MSc Behavioural Science,27480,27480,Postgraduate
MSc China in Comparative Perspective,17424,27480,Postgraduate
MSc City Design and Social Science,19848,30960,Postgraduate
MSc Criminal Justice Policy 4,17624,27680,Postgraduate
MSc Culture and Conflict in a Global Europe,27480,27480,Postgraduate
MSc Culture and Society,17424,27480,Postgraduate
MSc Data Science,35472,36168,Postgraduate
MSc Development Management,17424,27480,Postgraduate
MSc Development Studies (All streams),17424,27480,Postgraduate
MSc Econometrics and Mathematical Economics,35472,36168,Postgraduate
MSc Economic Policy for International Development,17424,27480,Postgraduate
MSc Economic History (All streams),17424,27480,Postgraduate
MSc Economics,36480,36480,Postgraduate
MSc Economics and Management,35472,36168,Postgraduate
MSc Economy and Society,17424,27480,Postgraduate
"MSc Empires, Colonialism and Globalisation",17424,27480,Postgraduate
MSc Environment and Development,19848,31440,Postgraduate
MSc Environmental Economics and Climate Change,22176,33792,Postgraduate
MSc Environmental Policy and Regulation,19848,31440,Postgraduate
MSc European and International Politics and Policy,27480,27480,Postgraduate
MSc Finance (Full Time),44928,44928,Postgraduate
MSc Finance and Economics,35472,36168,Postgraduate
MSc Finance and Private Equity,44928,44928,Postgraduate
MSc Financial History,27480,29472,Postgraduate
MSc Financial Mathematics,35472,36168,Postgraduate
MSc Gender (All streams),17424,27480,Postgraduate
"MSc Gender, Development and Globalisation",17424,27480,Postgraduate
"MSc Gender, Media and Culture",17424,27480,Postgraduate
"MSc Gender, Peace and Security",17424,27480,Postgraduate
"MSc Gender, Policy and Inequalities",17424,27480,Postgraduate
MSc Geographic Data Science,27480,27480,Postgraduate
MSc Global Health Policy,21848,31472,Postgraduate
MSc Health and International Development,17424,27480,Postgraduate
MSc Health Data Science,27480,27480,Postgraduate
"MSc Health Policy, Planning and Financing",,,Postgraduate
MSc History of International Relations,17424,27480,Postgraduate
MSc Human Geography and Urban Studies (Research),17424,27480,Postgraduate
"MSc Human Resources and Organisations (Human Resource
Management/CIPD)",30480,30480,Postgraduate
"MSc Human Resources and Organisations (International
Employment Relations/CIPD)",30480,30480,Postgraduate
"MSc Human Resources and Organisations (Organisational
Behaviour stream)",29472,29472,Postgraduate
MSc Human Rights,22176,31440,Postgraduate
MSc Human Rights and Politics,22176,31440,Postgraduate
MSc Inequalities and Social Science,17424,27480,Postgraduate
MSc International and Asian History,17424,27480,Postgraduate
MSc International Development and Humanitarian Emergencies,17424,27480,Postgraduate
MSc International Health Policy,21848,31472,Postgraduate
MSc International Migration and Public Policy,27480,27480,Postgraduate
MSc International Political Economy (Both streams),29472,29472,Postgraduate
MSc International Relations (Both streams),29472,29472,Postgraduate
MSc International Social and Public Policy (All streams) 4,17624,27680,Postgraduate
MSc Local Economic Development,17424,27480,Postgraduate
MSc Management (12-Month Programme) 5,38472,38472,Postgraduate
MSc Management and Strategy,35472,36168,Postgraduate
MSc Management of Information Systems and Digital Innovation,35472,36168,Postgraduate
MSc Marketing,35472,36168,Postgraduate
MSc Media and Communications (All streams),27480,27480,Postgraduate
"MSc Media, Communication and Development",27480,27480,Postgraduate
MSc Operations Research and Analytics,29472,29472,Postgraduate
MSc Organisational and Social Psychology,27480,27480,Postgraduate
MSc Philosophy and Public Policy,27480,27480,Postgraduate
MSc Philosophy of Economics and the Social Sciences,17424,27480,Postgraduate
MSc Philosophy of Science,17424,27480,Postgraduate
MSc Political Economy of Europe,27480,27480,Postgraduate
MSc Political Economy of Late Development,17424,27480,Postgraduate
MSc Political Science (All streams),27480,27480,Postgraduate
MSc Political Sociology,17424,27480,Postgraduate
MSc Political Theory,27480,27480,Postgraduate
MSc Politics and Communication,27480,27480,Postgraduate
MSc Psychology of Economic Life,19848,27480,Postgraduate
MSc Public Policy and Administration (Both streams),31440,31440,Postgraduate
MSc Quantitative Methods for Risk Management,35472,37992,Postgraduate
MSc Real Estate Economics and Finance,31440,33792,Postgraduate
MSc Regional and Urban Planning Studies,17424,27480,Postgraduate
MSc Regulation,27480,27480,Postgraduate
MSc Risk and Finance,41760,41760,Postgraduate
MSc Social and Cultural Psychology,17424,27480,Postgraduate
MSc Social and Public Communication,17424,27480,Postgraduate
MSc Social Anthropology (All streams),17424,27480,Postgraduate
MSc Social Innovation and Entrepreneurship 6,34980,35628,Postgraduate
MSc Social Research Methods,17424,27480,Postgraduate
MSc Sociology,17424,27480,Postgraduate
MSc Statistics (All streams except Financial Statistics streams),17424,27480,Postgraduate
MSc Statistics (Financial Statistics,35472,37992,Postgraduate
MSc Strategic Communications and Society,27480,27480,Postgraduate
MSc Theory and History of International Relations,17424,27480,Postgraduate
MSc Urbanisation and Development,17424,27480,Postgraduate
"MSc Global Media and Communications (with USC, Fudan or UCT)",27480,27480,Postgraduate
"Sciences Po-LSE Double Degree in Affaires Internationales and
International Relations / International Political Economy:
MSc International Political Economy or
MSc International Relations",,,Postgraduate
LSE-NUS Double MSc Asian and International History,,,Postgraduate
"LSE-PKU Double MSc Environmental Policy, Technology and Health:
MSc Environment & Development
MSc Environmental Economics & Climate Change
MSc Environmental Policy & Regulation",,,Postgraduate
"LSE-Bocconi Double Masters in European and International Public
Policy and Politics (MSc European and International Politics and
Policy)",,,Postgraduate
"LSE-Columbia Double Degree in European Politics, Culture and
Conflict (MSc Culture and Conflict in a Global Europe)",,,Postgraduate
"LSE-Sciences Po Double Masters in European Studies:
MSc European and International Politics and Policy or
MSc Culture and Conflict in a Global Europe or
MSc International Migration and Public Policy or
MSc Political Economy of Europe",,,Postgraduate
LSE-PKU Double MSc International Affairs,,,Postgraduate
LSE-Columbia Double MSc International and World History,,,Postgraduate
