Course,Home Fee,Overseas Fee,Level
MSc Accounting and Finance,29184,29760,Postgraduate
"MSc Accounting, Organisations and Institutions",29184,29760,Postgraduate
MSc Anthropology and Development,14640,22608,Postgraduate
MSc Anthropology and Development Management,22608,22608,Postgraduate
MSc Applicable Mathematics,14640,22608,Postgraduate
MSc Applied Social Data Science,29184,29760,Postgraduate
MSc Behavioural Science,22608,22608,Postgraduate
MSc China in Comparative Perspective,14640,22608,Postgraduate
MSc City Design and Social Science,29184,29760,Postgraduate
MSc Comparative Politics (All streams),22608,22608,Postgraduate
MSc Conflict Studies,22608,22608,Postgraduate
MSc Criminal Justice Policy,14640,22608,Postgraduate
MSc Culture and Conflict in a Global Europe,22608,22608,Postgraduate
MSc Culture and Society,14640,22608,Postgraduate
MSc Data Science,29184,29760,Postgraduate
MSc Development Management,22608,22608,Postgraduate
MSc Development Studies (All streams),14640,22608,Postgraduate
MSc Econometrics and Mathematical Economics,29184,29760,Postgraduate
MSc Economic History (Both streams),14640,22608,Postgraduate
MSc Economics,29184,29760,Postgraduate
MSc Economics (Two Year Programme),,,Postgraduate
MSc Economics and Management,29184,29760,Postgraduate
MSc Economics and Philosophy,22608,22608,Postgraduate
"MSc Economy, Risk and Society",14640,22608,Postgraduate
"MSc Empires, Colonialism and Globalisation",14640,22608,Postgraduate
MSc Environment and Development,16656,24264,Postgraduate
MSc Environmental Economics and Climate Change,18624,25872,Postgraduate
MSc Environmental Policy and Regulation,14640,22608,Postgraduate
MSc European and International Public Policy,22608,22608,Postgraduate
MSc European Studies (Research),22608,22608,Postgraduate
MSc Finance (Full Time),36984,36984,Postgraduate
MSc Finance and Economics,29184,29760,Postgraduate
MSc Finance and Private Equity,36984,36984,Postgraduate
MSc Financial Mathematics,29184,29760,Postgraduate
MSc Gender (All streams),14640,22608,Postgraduate
"MSc Gender, Development and Globalisation",14640,22608,Postgraduate
"MSc Gender, Media and Culture",14640,22608,Postgraduate
"MSc Gender, Peace and Security",14640,22608,Postgraduate
"MSc Gender, Policy and Inequalities",14640,22608,Postgraduate
MSc Global Economic History (Erasmus Mundus),14640,22608,Postgraduate
MSc Global Health Policy,18656,26264,Postgraduate
MSc Global Media and Communications,,,Postgraduate
Global MSc Management,,,Postgraduate
MSc Global Politics,24264,24264,Postgraduate
MSc Health and International Development,14640,22608,Postgraduate
"MSc Health Policy, Planning and Financing",,,Postgraduate
MSc History of International Relations,14640,22608,Postgraduate
MSc Human Geography and Urban Studies (Research),14640,22608,Postgraduate
MSc Human Resources and Organisations,24264,24264,Postgraduate
MSc Human Resources and Organisations (HRM/CIPD Specialism),25272,25272,Postgraduate
MSc Human Rights,16656,24264,Postgraduate
MSc Human Rights and Politics,16656,24264,Postgraduate
MSc Inequalities and Social Science,14640,22608,Postgraduate
MSc International Development and Humanitarian Emergencies,14640,22608,Postgraduate
MSc International Health Policy (All streams),17664,25272,Postgraduate
MSc International Migration and Public Policy,22608,22608,Postgraduate
MSc International Political Economy (Both streams),24264,24264,Postgraduate
MSc International Relations (Both streams),24264,24264,Postgraduate
MSc International Relations Theory,24264,24264,Postgraduate
MSc International Social and Public Policy (All streams) 4,14840,22808,Postgraduate
MSc Local Economic Development,14640,22608,Postgraduate
MSc Management 5,32184,32184,Postgraduate
MSc Management and Strategy,29184,29760,Postgraduate
MSc Management of Information Systems and Digital Innovation,29184,29760,Postgraduate
MSc Marketing,29184,29760,Postgraduate
MSc Media and Communications (All streams),22608,22608,Postgraduate
"MSc Media, Communication and Development",22608,22608,Postgraduate
MSc Operations Research and Analytics,24264,24264,Postgraduate
MSc Organisational and Social Psychology,22608,22608,Postgraduate
MSc Philosophy and Public Policy,22608,22608,Postgraduate
MSc Philosophy of Science,14640,22608,Postgraduate
MSc Philosophy of the Social Sciences,14640,22608,Postgraduate
MSc Political Economy of Europe,22608,22608,Postgraduate
MSc Political Economy of Late Development,14640,22608,Postgraduate
MSc Political Science and Political Economy,22608,22608,Postgraduate
MSc Political Sociology,14640,22608,Postgraduate
MSc Political Theory,14640,22608,Postgraduate
MSc Politics and Communication,22608,22608,Postgraduate
MSc Psychology of Economic Life,16656,22608,Postgraduate
MSc Public Policy and Administration (Both streams),22608,22608,Postgraduate
MSc Quantitative Economic History,14640,22608,Postgraduate
MSc Quantitative Methods for Risk Management,29184,29760,Postgraduate
MSc Real Estate Economics and Finance,25872,25872,Postgraduate
MSc Regional and Urban Planning Studies,14640,22608,Postgraduate
MSc Regulation (Both streams),14640,22608,Postgraduate
MSc Risk and Finance,29184,29760,Postgraduate
MSc Social and Cultural Psychology,14640,22608,Postgraduate
MSc Social and Public Communication,14640,22608,Postgraduate
MSc Social Anthropology (All streams),14640,22608,Postgraduate
MSc Social Innovation and Entrepreneurship,30684,31260,Postgraduate
MSc Social Research Methods,14640,22608,Postgraduate
MSc Sociology,14640,22608,Postgraduate
MSc Statistics (including the Research stream and the Social Statistics streams),14640,22608,Postgraduate
MSc Statistics (Financial Statistics)(Both streams),29184,29760,Postgraduate
MSc Strategic Communications,22608,22608,Postgraduate
MSc Theory and History of International Relations,14640,22608,Postgraduate
MSc Urbanisation and Development,14640,22608,Postgraduate
MSc Urban Policy,,,Postgraduate
MSc Global Media and Communications,22608,22608,Postgraduate
MSc The Global Political Economy of China and Europe (with Fudan),22608,22608,Postgraduate
LSE-PKU Double Degree in Public Administration and Government (MSc Public Policy and Administration),,,Postgraduate
"LSE-PKU Double Degree in Environmental Policy, Technology and Health
(MSc Environment & Development or
MSc Environmental Economics & Climate Change or
MSc Environmental Policy & Regulation)",,,Postgraduate
"LSE-Sciences Po Double Degree in European Studies
(MSc European and International Public Policy or
MSc Culture and Conflict in a Global Europe or
MSc Political Economy of Europe)",,,Postgraduate
MSc Urban Policy (MSc Local Economic Development or MSc Regional and Urban Planning Studies),,,Postgraduate
"Sciences Po-LSE Double Degree in Affaires Internationales and International Relations / International Political Economy
(MSc International Political Economy or
MSc International Relations)",,,Postgraduate
Global MSc Management,30184,30760,Postgraduate
